event_date,company_name,region_macro,country,segment,signal_type,numeric_value,numeric_unit,direction,description,source_name,source_url,notes
2020-03-15,Covestro,EMEA,Germany,raw_materials,capacity,0,,decrease,Temporary reduction of MDI production at Brunsbüttel due to demand shock and logistics constraints.,company release,,COVID-related curtailment
2020-06-01,Wanhua Chemical,APAC,China,raw_materials,capacity,400000,TPA,increase,Ningbo MDI expansion completed; new line added 400 ktpa MDI nameplate capacity.,company release,, 
2020-08-01,BASF,EMEA,Belgium,raw_materials,capacity,0,,neutral,Antwerp TDI facility operated at reduced rates; no permanent capacity change.,company release,, 
2021-01-01,EU Commission,EMEA,,raw_materials,regulation,,,,neutral,EU restriction on diisocyanates (monomer content) entered into force; training and labelling required for industrial use.,ECHA/Official Journal,, 
2021-03-01,Huntsman,Americas,USA,raw_materials,capacity,0,,increase,Geismar MDI debottleneck completed; incremental capacity gain.,company release,, 
2021-05-01,Wanhua Chemical,APAC,China,raw_materials,capacity,250000,TPA,increase,Fujian new MDI plant announced; 250 ktpa planned.,company release,, 
2021-06-15,Dow,Americas,USA,flexible_foam,capacity,0,,increase,Polyurethane systems capacity expansion in Texas for flexible foam applications.,company release,, 
2021-09-01,Covestro,EMEA,Germany,raw_materials,technology,,,,neutral,Commissioning of new chlorine production at Tarragona; structural supply for TDI/MDI precursors.,company release,, 
2022-01-01,BASF,APAC,China,raw_materials,capacity,0,,increase,Chongqing MDI facility expansion project completed; capacity increase.,company release,, 
2022-02-01,Sadara,EMEA,Saudi Arabia,raw_materials,capacity,0,,increase,Jubail mixed-feed cracker and downstream PU capacity ramp-up continued.,company release,, 
2022-03-01,Covestro,EMEA,Spain,raw_materials,capacity,0,,increase,Tarragona TDI capacity expansion completed.,company release,, 
2022-05-01,LyondellBasell,Americas,USA,raw_materials,capacity,0,,increase,POLYVANTIS PO/MTBE joint venture PO capacity online; structural PO supply for polyether polyols.,company release,, 
2022-06-01,Wanhua Chemical,APAC,China,raw_materials,capacity,0,,increase,Ningbo phase III MDI expansion brought on stream.,company release,, 
2022-08-01,BASF,EMEA,Germany,raw_materials,capacity,0,,decrease,Reduced operating rates at Ludwigshafen and Antwerp amid energy crisis; no permanent closure.,company release,,Energy crisis 2022
2022-09-01,Covestro,EMEA,Germany,raw_materials,capacity,0,,decrease,Brunsbüttel MDI production curtailed due to gas supply and cost; temporary.,company release,, 
2022-10-01,Huntsman,Americas,USA,raw_materials,mna,,,USD,neutral,Huntsman completed sale of Textile Effects division; focus on PU and downstream.,company release,, 
2023-02-01,EU Commission,EMEA,,raw_materials,regulation,,,,neutral,REACH restriction on diisocyanates (consumer/DIY) fully applicable; durable compliance impact on formulations.,ECHA,, 
2023-03-01,Wanhua Chemical,APAC,China,raw_materials,capacity,0,,increase,Yantai MDI plant expansion phase completed.,company release,, 
2023-04-01,BASF,APAC,China,raw_materials,capacity,0,,increase,Zhanjiang integrated site progress; MDI and downstream included in phased plan.,company release,, 
